;CustomerID;Recency;Frequency;Monetary;R_Score;F_Score;M_Score;RFMScore;Customer_Segmentation;CompanyName;ContactName;ContactTitle;Address;City;Country;Phone;OrderID;EmployeeID;OrderDate;RequiredDate;ShipVia;Freight;ShipName;ShipAddress;ShipCity;ShipCountry;ProductID;UnitPrice_x;Quantity;Discount;ProductName;SupplierID;CategoryID;QuantityPerUnit;UnitPrice_y;UnitsInStock;UnitsOnOrder;ReorderLevel;Discontinued;recentpurchasedate;TotalSales
0;ALFKI;27;12;4584.0;2;2;2;222;Silver Customers;Alfreds Futterkiste;Maria Anders;Sales Representative;Obere Str. 57;Berlin;Germany;030-0074321;10643;6;1997-08-25 00:00:00;1997-09-22 00:00:00;1;29,46;Alfreds Futterkiste;Obere Str. 57;Berlin;Germany;28;45.6;15;0.25;Rossle Sauerkraut;12;7;25 - 825 g cans;45.6;26;0;0;True;1997-08-25;680.0
11;ALFKI;27;12;4584.0;2;2;2;222;Silver Customers;Alfreds Futterkiste;Maria Anders;Sales Representative;Obere Str. 57;Berlin;Germany;030-0074321;11011;3;1998-04-09 00:00:00;1998-05-07 00:00:00;1;1,21;Alfred's Futterkiste;Obere Str. 57;Berlin;Germany;71;21.5;20;0.0;Flotemysost;15;4;10 - 500 g pkgs.;21.5;26;0;0;False;1998-04-09;430.0
10;ALFKI;27;12;4584.0;2;2;2;222;Silver Customers;Alfreds Futterkiste;Maria Anders;Sales Representative;Obere Str. 57;Berlin;Germany;030-0074321;11011;3;1998-04-09 00:00:00;1998-05-07 00:00:00;1;1,21;Alfred's Futterkiste;Obere Str. 57;Berlin;Germany;58;13.25;40;0.05;Escargots de Bourgogne;27;8;24 pieces;13.25;62;0;20;False;1998-04-09;528.0
9;ALFKI;27;12;4584.0;2;2;2;222;Silver Customers;Alfreds Futterkiste;Maria Anders;Sales Representative;Obere Str. 57;Berlin;Germany;030-0074321;10952;1;1998-03-16 00:00:00;1998-04-27 00:00:00;1;40,42;Alfred's Futterkiste;Obere Str. 57;Berlin;Germany;6;25.0;16;0.05;Grandma's Boysenberry Spread;3;2;12 - 8 oz jars;25.0;120;0;25;False;1998-03-16;399.0
7;ALFKI;27;12;4584.0;2;2;2;222;Silver Customers;Alfreds Futterkiste;Maria Anders;Sales Representative;Obere Str. 57;Berlin;Germany;030-0074321;10835;1;1998-01-15 00:00:00;1998-02-12 00:00:00;3;69,53;Alfred's Futterkiste;Obere Str. 57;Berlin;Germany;59;55.0;15;0.0;Raclette Courdavault;28;4;5 kg pkg.;55.0;79;0;0;False;1998-01-15;825.0
6;ALFKI;27;12;4584.0;2;2;2;222;Silver Customers;Alfreds Futterkiste;Maria Anders;Sales Representative;Obere Str. 57;Berlin;Germany;030-0074321;10702;4;1997-10-13 00:00:00;1997-11-24 00:00:00;1;23,94;Alfred's Futterkiste;Obere Str. 57;Berlin;Germany;76;18.0;15;0.0;Lakkalikori;23;1;500 ml;18.0;57;0;20;False;1997-10-13;270.0
8;ALFKI;27;12;4584.0;2;2;2;222;Silver Customers;Alfreds Futterkiste;Maria Anders;Sales Representative;Obere Str. 57;Berlin;Germany;030-0074321;10835;1;1998-01-15 00:00:00;1998-02-12 00:00:00;3;69,53;Alfred's Futterkiste;Obere Str. 57;Berlin;Germany;77;13.0;2;0.2;Original Frankfurter grone Sooe;12;2;12 boxes;13.0;32;0;15;False;1998-01-15;26.0
4;ALFKI;27;12;4584.0;2;2;2;222;Silver Customers;Alfreds Futterkiste;Maria Anders;Sales Representative;Obere Str. 57;Berlin;Germany;030-0074321;10692;4;1997-10-03 00:00:00;1997-10-31 00:00:00;2;61,02;Alfred's Futterkiste;Obere Str. 57;Berlin;Germany;63;43.9;20;0.0;Vegie-spread;7;2;15 - 625 g jars;43.9;24;0;5;False;1997-10-03;878.0
3;ALFKI;27;12;4584.0;2;2;2;222;Silver Customers;Alfreds Futterkiste;Maria Anders;Sales Representative;Obere Str. 57;Berlin;Germany;030-0074321;10643;6;1997-08-25 00:00:00;1997-09-22 00:00:00;1;29,46;Alfreds Futterkiste;Obere Str. 57;Berlin;Germany;46;12.0;2;0.25;Spegesild;21;8;4 - 450 g glasses;12.0;95;0;0;False;1997-08-25;24.0
2;ALFKI;27;12;4584.0;2;2;2;222;Silver Customers;Alfreds Futterkiste;Maria Anders;Sales Representative;Obere Str. 57;Berlin;Germany;030-0074321;10643;6;1997-08-25 00:00:00;1997-09-22 00:00:00;1;29,46;Alfreds Futterkiste;Obere Str. 57;Berlin;Germany;39;18.0;21;0.25;Chartreuse verte;18;1;750 cc per bottle;18.0;69;0;5;False;1997-08-25;373.0
1;ALFKI;27;12;4584.0;2;2;2;222;Silver Customers;Alfreds Futterkiste;Maria Anders;Sales Representative;Obere Str. 57;Berlin;Germany;030-0074321;10952;1;1998-03-16 00:00:00;1998-04-27 00:00:00;1;40,42;Alfred's Futterkiste;Obere Str. 57;Berlin;Germany;28;45.6;2;0.0;Rossle Sauerkraut;12;7;25 - 825 g cans;45.6;26;0;0;True;1998-03-16;91.0
5;ALFKI;27;12;4584.0;2;2;2;222;Silver Customers;Alfreds Futterkiste;Maria Anders;Sales Representative;Obere Str. 57;Berlin;Germany;030-0074321;10702;4;1997-10-13 00:00:00;1997-11-24 00:00:00;1;23,94;Alfred's Futterkiste;Obere Str. 57;Berlin;Germany;3;10.0;6;0.0;Aniseed Syrup;1;2;12 - 550 ml bottles;10.0;13;70;25;False;1997-10-13;60.0
18;ANATR;63;10;1403.0;1;1;1;111;Low Value Customers;Ana Trujillo Emparedados y helados;Ana Trujillo;Owner;Avda. de la Constitucion 2222;Moxico D.F.;Mexico;(5) 555-4729;10926;4;1998-03-04 00:00:00;1998-04-01 00:00:00;3;39,92;Ana Trujillo Emparedados y helados;Avda. de la Constitucion 2222;Moxico D.F.;Mexico;11;21.0;2;0.0;Queso Cabrales;5;4;1 kg pkg.;21.0;22;30;30;False;1998-03-04;42.0
